,player,position
241,Gonzalo Montiel,FB
242,Álex Moreno,FB
243,Carlton Morris,"FW, AM"
244,Mason Mount,AM
245,Mykhailo Mudryk,AM
246,Rodrigo Muniz,FW
247,Daniel Muñoz,FB
248,Murillo,CB
249,Jacob Murphy,AM
250,Vitaliy Mykolenko,FB
251,Marvelous Nakamba,CM
252,Pedro Neto,AM
253,Moussa Niakhate,CB
254,Eddie Nketiah,FW
255,Oliver Norwood,CM
256,Matheus Nunes,CM
257,Darwin Núñez,FW
258,Christian Nørgaard,CM
259,Dara O'Shea,CB
260,Wilson Odobert,"CM, FW"
261,Chiedozie Ogbene,"FB, AM"
262,Angelo Ogbonna,CB
263,Michael Olise,AM
264,Andrew Omobamidele,CB
265,Amadou Onana,CM
266,Frank Onyeka,CM
267,Divock Origi,AM
268,Ben Osborn,"FB, CM"
269,Gabriel Osho,CB
270,William Osula,FW
271,Dango Ouattara,"AM, FB"
272,João Palhinha,CM
273,Cole Palmer,AM
274,Emerson Palmieri,FB
275,Lucas Paquetá,"AM, CM"
276,Thomas Partey,CM
277,Nathan Patterson,FB
278,Andreas Pereira,"AM, CM"
279,Ethan Pinnock,CB
280,Pedro Porro,FB
281,Jarell Quansah,CB
282,Aaron Ramsey,CM
283,Jacob Ramsey,AM
284,Marcus Rashford,"AM, FW"
285,Tim Ream,CB
286,Harrison Reed,CM
287,Sergio Reguilón,FB
288,Bobby Reid,AM
289,Declan Rice,CM
290,Chris Richards,"CB, CM"
291,Richarlison,FW
292,Connor Roberts,FB
293,Andrew Robertson,FB
294,Antonee Robinson,FB
295,Jack Robinson,CB
296,Rodri,CM
297,Jay Rodriguez,FW
298,Mads Roerslev,FB
299,Morgan Rogers,AM
300,Cristian Romero,CB
301,Pelly Ruddock Mpanzu,CM
302,Bukayo Saka,AM
303,Mohamed Salah,AM
304,William Saliba,CB
305,Albert Sambi Lokonga,CM
306,Ibrahim Sangaré,CM
307,Pablo Sarabia,AM
308,Fabian Schär,CB
309,Jeffrey Schlupp,AM
310,Alex Scott,CM
311,Nélson Semedo,"FB, CM"
312,Antoine Semenyo,AM
313,Marcos Senesi,CB
314,Luke Shaw,FB
315,Bernardo Silva,"CM, AM"
316,Thiago Silva,CB
317,Luis Sinisterra,AM
318,Oliver Skipp,CM
319,Adam Smith,FB
320,Dominic Solanke,FW
321,Tomáš Souček,"CM, AM"
322,Vinicius Souza,CM
323,Raheem Sterling,AM
324,John Stones,"CB, CM"
325,Dominik Szoboszlai,CM
326,James Tarkowski,CB
327,Nuno Tavares,FB
328,Marcus Tavernier,AM
329,Charlie Taylor,FB
330,Kenny Tete,FB
331,Luke Thomas,FB
332,Youri Tielemans,CM
333,Harry Toffolo,FB
334,Takehiro Tomiyasu,FB
335,Ivan Toney,FW
336,Pau Torres,CB
337,Andros Townsend,AM
338,Boubacar Traoré,CM
339,Kieran Trippier,FB
340,Leandro Trossard,AM
341,Auston Trusty,"CB, FB"
342,Kostas Tsimikas,FB
343,Destiny Udogie,FB
344,Virgil van Dijk,CB
345,Raphaël Varane,CB
346,Joël Veltman,FB
347,Micky van de Ven,CB
348,Vitinho,FB
349,Kyle Walker,FB
350,Aaron Wan-Bissaka,FB
351,Joel Ward,"FB, CB"
352,James Ward-Prowse,"CM, AM"
353,Ollie Watkins,FW
354,Adam Webster,CB
355,Danny Welbeck,FW
356,Timo Werner,AM
357,Adam Wharton,CM
358,Ben White,FB
359,Neco Williams,FB
360,Willian,AM
361,Callum Wilson,FW
362,Harry Wilson,AM
363,Yoane Wissa,"FW, AM"
364,Chris Wood,FW
365,Yehor Yarmoliuk,CM
366,Ryan Yates,CM
367,Ashley Young,"FB, CM"
368,Illia Zabarnyi,CB
369,Nicolò Zaniolo,AM
370,Oleksandr Zinchenko,FB
371,Kurt Zouma,CB
372,Martin Ødegaard,CM
373,Abner,FB
374,Abdel Abqar,CB
375,Marcos Acuña,FB
376,Lucien Agoume,CM
377,Ilias Akhomach,CM
378,Sergio Akieme,FB
379,David Alaba,CB
380,Raúl Albiol,CB
381,Rubén Alcaraz,CM
382,Omar Alderete,CB
383,Iván Alejo,CM
384,Carles Aleñá,CM
385,Domingos André Ribeiro Almeida,FW
386,Adrià Altimira,FB
387,Sergi Altimira,CM
388,Gastón Álvarez,"CB, FB"
389,Hugo Álvarez,CM
390,Yeray Álvarez,CB
391,Selim Amallah,FW
392,Miguel Ángel Rubio,CB
393,Jon Aramburu,FB
394,Julian Araujo,FB
395,Ronald Araújo,CB
396,Jesús Areso,FB
397,José Arnaiz,AM
398,Sergio Arribas,AM
399,Iago Aspas,"FW, AM"
400,Ezequiel Ávila,AM
401,César Azpilicueta,"CB, FB"
402,Iddrisu Baba,CM
403,Loïc Bade,CB
404,Alex Baena,CM
405,Eric Bailly,CB
406,Alejandro Balde,FB
407,Iván Balliu,FB
408,Jonathan Bamba,"CM, AM"
409,Léo Baptistão,"FW, AM"
410,Ander Barrenetxea,"AM, CM"
411,Pablo Barrios,CM
412,Sheraldo Becker,"FW, AM"
413,Héctor Bellerín,FB
414,Jude Bellingham,"AM, CM"
415,Fran Beltrán,CM
416,Carlos Benavídez,CM
417,Yuri Berchiche,FB
418,Álex Berenguer,AM
419,Antonio Blanco,CM
420,Daley Blind,CB
421,Lucas Boyé,FW
422,Ante Budimir,FW
423,José Callejón,CM
424,Eduardo Camavinga,CM
425,Sergio Camello,FW
426,João Cancelo,FB
427,Sergi Canós,CM
428,Étienne Capoue,CM
429,Isaac Carcelen,FB
430,Marc Cardona,FW
431,Sergi Cardona,FB
432,Johnny Cardoso,CM
433,Carmona,"FB, CM"
434,Álvaro Carreras,FB
435,Dani Carvajal,FB
436,William Carvalho,CM
437,Catena,CB
438,Dani Ceballos,CM
439,Álex Centelles,FB
440,Franco Cervi,CM
441,Pep Chavarría,FB
442,Andreas Christensen,"CB, CM"
443,Chumi,CB
444,Víctor Chust,CB
445,Pathé Ciss,CM
446,Saúl Coco,CB
447,Santi Comesaña,CM
448,Copete,CB
449,Francis Coquelin,CM
450,Ángel Correa,FW
451,Thierry Correia,FB
452,Jaume Costa,FB
453,Samu Costa,CM
454,Yan Couto,"FB, AM"
455,Crespo,CM
456,Juan Cruz Armada,"FB, CB"
457,Pau Cubarsí,CB
458,Jorge Cuenca,"CB, FB"
459,Sergi Darder,CM
460,Rodrigo De Paul,CM
461,Mouctar Diakhaby,CB
462,Assane Diao,AM
463,Brahim Díaz,AM
464,Djené,"CB, CM"
465,Carlos Dominguez,CB
466,Carlos Dotor,CM
467,Anastasios Douvikas,FW
468,Artem Dovbyk,FW
469,Domingos Duarte,CB
470,Rubén Duarte,"FB, CB"
471,Hugo Duro,FW
472,Aritz Elustondo,CB
473,Adri Embarba,AM
474,Youssef En-Nesyri,FW
475,Gonzalo Escalante,CM
476,Alfonso Espino,FB
477,Abde Ezzalzouli,AM
478,Fali,CB
479,Peter Federico,CM
480,Nabil Fekir,AM
481,João Félix,AM
482,Kiko Femenía,FB
483,Álex Fernández,CM
484,Valery Fernández,CM
485,Fernando,CB
486,Pablo Fornals,AM
487,Dimitri Foulquier,FB
488,Juan Foyth,FB
489,Jorge de Frutos,"AM, CM"
490,Matteo Gabbia,CB
491,Javi Galán,FB
492,Iñigo Ruiz de Galarreta,CM
493,Aleix García,CM
494,Álvaro García,"AM, CM"
495,Dani García,CM
496,David García,CB
497,Eric García,"CB, FB"
498,Fran Garcia,FB
499,Francisco Jesús Crespo García,AM
500,Rubén García,AM
501,Unai García,CB
502,Yarek Gasiorowski,FB
503,Gavi,CM
504,Maxi Gómez,FW
505,Moi Gómez,"CM, AM"
506,Unai Gómez,AM
507,Édgar González,"CB, CM"
508,Giovanni González,"FB, CB"
509,Andoni Gorosabel,FB
510,Mason Greenwood,"CM, AM"
511,Antoine Griezmann,"FW, CM"
512,Andrés Guardado,CM
513,Sergi Guardiola,FW
514,Nemanja Gudelj,CB
515,Gonçalo Guedes,FW
516,Javier Guerra,CM
517,Ander Guevara,CM
518,Hugo Guillamón,CM
519,Gerard Gumbau,CM
520,İlkay Gündoğan,CM
521,Jon Guridi,"AM, CM"
522,Gorka Guruzeta,FW
523,Miguel Gutiérrez,FB
524,Munir El Haddadi,"AM, FW"
525,Ianis Hagi,AM
526,Luiz Henrique,"AM, CM"
527,Mario Hermoso,CB
528,Javi Hernández,"FB, CB"
529,Aridane Hernández,CB
530,Luis Hernández,CB
531,Jorge Herrando,CB
532,Ander Herrera,CM
533,Yangel Herrera,CM
534,Martin Hongla,CM
535,Pablo Ibáñez,CM
536,Iglesias,FB
537,Imanol,FB
538,Isco,AM
539,Luis Javier Suárez,FW
540,Frenkie de Jong,CM
541,Jordi,CM
542,Willian José,FW
543,Joselu,FW
544,Kamil Jóźwiak,AM
545,Juanmi,FW
546,Juanpe,CB
547,Vinicius Júnior,"FW, AM"
548,Sory Kaba,FW
549,Kaiky,CB
550,Kiké,FW
551,Koke,CM
552,Rominigue Kouamé,CM
553,Jules Koundé,"FB, CB"
554,Toni Kroos,CM
555,Takefusa Kubo,"AM, CM"
556,Luca de la Torre,CM
557,Érik Lamela,AM
558,Bruno Langa,"FB, CM"
559,Cyle Larin,FW
560,Juanmi Latasa,FW
561,Toni Lato,FB
562,Robin Le Normand,CB
563,Florian Lejeune,CB
564,Iñigo Lekue,FB
565,Robert Lewandowski,FW
566,Samuel Lino,FB
567,Marcos Llorente,"CM, FB"
568,Enzo Loiodice,CM
569,David López,CB
570,Diego López,"CM, FW, AM"
571,Fermin López,"CM, AM"
572,Javi López,FB
573,Unai López,CM
574,Dion Lopy,CM
575,Anthony Lozano,FW
576,Lucas,FB
577,José Luis Gayà,FB
578,José Luis Morales,FW
579,Dodi Lukebakio,AM
580,Darwin Machís,CM
581,Pablo Maffeo,FB
582,Nemanja Maksimović,CM
583,Reinildo Mandava,CB
584,Aïssa Mandi,CB
585,Javier Manquillo,CB
586,Óscar de Marcos,FB
587,José María Giménez,CB
588,Rafa Marín,CB
589,Mika Màrmol,CB
590,Roger Martí,FW
591,Iván Martín,"CM, AM"
592,Arnau Martinez,FB
593,Iñigo Martínez,CB
594,Marvin,AM
595,Omar Mascarell,CM
596,Jaime Mata,"FW, CM"
597,Borja Mayoral,FW
598,Óscar Melendo,CM
599,Gonzalo Melero,CM
600,Memphis,FW
601,Brais Méndez,CM
602,Bruno Méndez,"FB, CB"
603,Ferland Mendy,FB
604,Jorge Meré,CB
605,Mikel Merino,CM
606,Éder Militão,CB
607,Luis Milla,CM
608,Óscar Mingueza,"FB, CM"
609,Ignasi Miquel,CB
610,Juan Miranda,FB
611,Stefan Mitrović,CB
612,Luka Modrić,"CM, AM"
613,Johan Mojica,FB
614,Alberto Moleiro,AM
615,Nahuel Molina,FB
616,Jon Moncayola,CM
617,César Montes,CB
618,Álvaro Morata,FW
619,Alberto Moreno,FB
620,Gerard Moreno,FW
621,Ilaix Moriba,CM
622,Manu Morlanes,CM
623,Cristhian Mosquera,CB
624,Yerson Mosquera,CB
625,Abdul Mumin,CB
626,Iker Muniain,AM
627,Aihen Muñoz,FB
628,Iker Muñoz,CM
629,Javier Muñoz,CM
630,Vedat Muriqi,FW
631,Nacho,CB
632,Matija Nastasić,CB
633,Roberto Navarro,CM
634,Jesús Navas,FB
635,Carlos Neva,FB
636,Saúl Ñíguez,CM
637,Randy Nteka,FW
638,Unai Núñez,CB
639,Lucas Ocampos,"AM, FW, FB, CM"
640,Samu Omorodion,FW
641,Aimar Oroz,"CM, AM"
642,Mikel Oyarzabal,"FW, AM"
643,Cenk Özkacar,CB
644,Jon Pacheco,CB
645,Isaac Palazón Camacho,"CM, AM"
646,Sokratis Papastathopoulos,CB
647,Aitor Paredes,CB
648,Daniel Parejo,CM
649,Gabriel Paulista,CB
650,Alfonso Pedraza,FB
651,Pedri,CM
652,Adrià Pedrosa,FB
653,Facundo Pellistri,"CM, AM"
654,Rubén Peña,"FB, AM"
655,Ayoze Pérez,"AM, FW"
656,Carles Pérez,CM
657,Francisco Perez,"CM, AM"
658,Kike Pérez,AM
659,Máximo Perrone,CM
660,Germán Pezzella,CB
661,Kamil Piątkowski,CB
662,Yeremi Pino,AM
663,Portu,AM
664,Alejandro Pozo Pozo,FB
665,Beñat Prados,CM
666,Abdón Prats,FW
667,Marc Pubill,FB
668,Antonio Puertas,CM
669,Aleksandar Radovanović,CB
670,Antonio Raillo,CB
671,Ivan Rakitić,CM
672,Largie Ramazani,AM
673,Sandro Ramírez,"FW, AM"
674,Chris Ramos,FW
675,Sergio Ramos,CB
676,Raphinha,AM
677,Andrei Ratiu,FB
678,Raúl,FW
679,Abderrahman Rebbach,AM
680,Chadi Riad,CB
681,Diego Rico,FB
682,Luis Rioja,AM
683,Rodrigo Riquelme,FB
684,Mihailo Ristić,FB
685,Sergi Roberto,CM
686,Lucas Robertone,CM
687,Marc Roca,"CM, CB"
688,Rodri,AM
689,Óscar Rodríguez Arnaiz,CM
690,Dani Rodríguez,CM
691,Guido Rodríguez,CM
692,Kirian Rodríguez,CM
693,Rodrygo,"FW, AM"
694,Isaac Romero,FW
695,Oriol Romeu,CM
696,Antonio Rüdiger,CB
697,Aitor Ruibal,FB
698,Sergio Ruiz,CM
699,Youssouf Sabaly,FB
700,Umar Sadiq,FW
701,Kike Salas,CB
702,Oihan Sancet,AM
703,Ricard Sánchez,FB
704,Antonio Sánchez,CM
705,Juanlu Sánchez,FB
706,Manu Sánchez,FB
707,Jesús Santiago,CM
708,Stefan Savić,CB
709,Sávio,"AM, CM"
710,Aleksandar Sedlar,CB
711,André Silva,FW
712,Giuliano Simeone,AM
713,Jailson Siqueira,CB
714,Rubén Sobrino,CM
715,Alex Sola,AM
716,Hugo Sotelo,CM
717,Boubakary Soumaré,CM
718,Djibril Sow,CM
719,Carl Starfelt,CB
720,Jørgen Strand Larsen,FW
721,Cristhian Stuani,FW
722,Álex Suárez,"FB, CB"
723,Damián Suárez,FB
724,Suso,"CM, AM"
725,Alexander Sørloth,FW
726,Renato Tapia,CM
727,Aurélien Tchouaméni,"CM, CB"
728,Nahuel Tenaglia,"CB, FB"
729,Ramón Terrats,CM
730,Kieran Tierney,FB
731,Raúl de Tomás,FW
732,Pablo Torre,AM
733,Raúl Torrente,CB
734,Ferrán Torres,"AM, FW"
735,Óliver Torres,CM
736,Lucas Torró,CM
737,Bertrand Traoré,CM
738,Hamari Traoré,FB
739,Óscar Trejo,"FW, AM"
740,Viktor Tsyhankov,"AM, CM"
741,Beñat Turrientes,CM
742,Myrto Uzuni,"FW, AM"
743,Óscar Valentín,CM
744,Martin Valjent,CB
745,Federico Valverde,"CM, AM"
746,José Luis García Vayá,CM
747,Jesus Vazquez,FB
748,Kevin Vázquez,FB
749,Lucas Vázquez,FB
750,Mikel Vesga,CM
751,Carlos Vicente,AM
752,Jonathan Viera,AM
753,Jonathan Viera,AM
754,Asier Villalibre,FW
755,Gonzalo Villar,CM
756,Daniel Vivian,CB
757,Iñaki Williams,AM
758,Nico Williams,AM
759,Axel Witsel,CB
760,Lamine Yamal,AM
761,Roman Yaremchuk,FW
762,Arsen Zakharyan,CM
763,Joseba Zaldúa,FB
764,Bryan Zaragoza,"AM, CM"
765,Igor Zubeldia,CB
766,Martín Zubimendi,CM
767,Francesco Acerbi,CB
768,Yacine Adli,CM
769,Michel Aebischer,CM
770,Jean-Daniel Akpa-Akpro,CM
771,Luis Alberto,CM
772,Pontus Almqvist,AM
773,Bruno Amione,"CB, FB"
774,Felipe Anderson,AM
775,Angeliño,FB
776,Houssem Aouar,CM
777,Marko Arnautović,FW
778,Kristjan Asllani,CM
779,Tommaso Augello,FB
780,Carlos Augusto,"FB, CB"
781,Yann Aurel Bisseck,CB
782,Sardar Azmoun,FW
783,Paulo Azzi,FB
784,Oussama El Azzouzi,CM
785,Milan Badelj,CM
786,Jaime Báez,AM
787,Nedim Bajrami,AM
788,Tommaso Baldanzi,AM
789,Tommaso Baldanzi,AM
790,Lameck Banda,AM
791,Daniel Bandeira,CM
792,Mattia Bani,CB
793,Antonín Barák,AM
794,Nicolò Barella,CM
795,Enzo Barrenechea,CM
796,Federico Baschirotto,CB
797,Toma Bašić,CM
798,Alessandro Bastoni,CB
799,Simone Bastoni,CM
800,Raoul Bellanova,FB
801,Andrea Belotti,FW
802,Andrea Belotti,FW
803,Lucas Beltrán,"AM, FW"
804,Ismaël Bennacer,CM
805,Domenico Berardi,AM
806,Bartosz Bereszyński,"CB, FB"
807,Victor Bernth Kristiansen,FB
808,Sam Beukema,CB
809,Jaka Bijol,CB
810,Cristiano Biraghi,FB
811,Samuele Birindelli,FB
812,Alexis Blin,CM
813,Emil Bohinen,CM
814,Daniel Boloca,CM
815,Giacomo Bonaventura,"AM, CM"
816,Federico Bonazzoli,FW
817,Warren Bondo,CM
818,Edoardo Bove,CM
819,Domagoj Bradarić,FB
820,Josip Brekalo,AM
821,Gleison Bremer,CB
822,Marco Brescianini,CM
823,Alessandro Buongiorno,CB
824,Jovane Cabral,AM
825,Liberato Cacace,FB
826,Jens Cajuste,CM
827,Davide Calabria,FB
828,Riccardo Calafiori,CB
829,Luca Caldirola,CB
830,Hakan Çalhanoğlu,CM
831,Nicolò Cambiaghi,"AM, FW"
832,Andrea Cambiaso,FB
833,Matteo Cancellieri,AM
834,Antonio Candreva,AM
835,Francesco Caputo,FW
836,Andrea Carboni,"CB, FB"
837,Valentin Carboni,AM
838,Nicolò Casale,CB
839,Valentín Castellanos,FW
840,Samu Castillejo,AM
841,Danilo Cataldi,CM
842,Zeki Çelik,FB
843,Fabien Centonze,FB
844,Alberto Cerri,FW
845,Walid Cheddira,FW
846,Federico Chiesa,FW
847,Samuel Chukwueze,AM
848,Patrick Ciurria,FB
849,Lorenzo Colombo,FW
850,Andrea Colpani,AM
851,Diego Coppola,CB
852,Lassana Coulibaly,CM
853,Bryan Cristante,"CM, CB"
854,Marvin Cuni,FW
855,Danilo D'Ambrosio,CB
856,Flavius Daniliuc,CB
857,Danilo,CB
858,Matteo Darmian,"FB, CB"
859,Juan David Cabal,FB
860,Paweł Dawidowicz,CB
861,Charles De Ketelaere,"FW, AM"
862,Lorenzo De Silvestri,FB
863,Koni De Winter,CB
864,Grégoire Defrel,AM
865,Alessandro Deiola,CM
866,Giovanni Di Lorenzo,FB
867,Boulaye Dia,FW
868,Federico Dimarco,FB
869,Koffi Djidji,CB
870,Berat Djimsiti,CB
871,Dodô,FB
872,Josh Doig,FB
873,Josh Doig,FB
874,Patrick Dorgu,"FB, CM"
875,Alberto Dossena,CB
876,Radu Drăgușin,CB
877,Ondrej Duda,CM
878,Denzel Dumfries,FB
879,Alfred Duncan,CM
880,Paulo Dybala,"AM, FW"
881,Festy Ebosele,FB
882,Tyronne Ebuehi,FB
883,Éderson,CM
884,Kingsley Ehizibue,FB
885,Caleb Ekuban,FW
886,Martin Erlic,CB
887,Giovanni Fabbian,"CM, AM"
888,Davide Faraoni,FB
889,Federico Fazio,CB
890,Jacopo Fazzini,CM
891,Lewis Ferguson,"AM, CM"
892,João Ferreira,"CB, FB"
893,Alessandro Florenzi,FB
894,Michael Folorunsho,"AM, CM"
895,Davide Frattesi,CM
896,Morten Frendrup,CM
897,Remo Freuler,CM
898,Matteo Gabbia,CB
899,Gianluca Gaetano,FW
900,Roberto Gagliardini,CM
901,Antonino Gallo,FB
902,Luca Garritano,CM
903,Federico Gatti,CB
904,Francesco Gelli,"CM, AM, FB"
905,Valentin Gendrey,FB
906,Lautaro Gianetti,CB
907,Mario Gila,CB
908,Gvidas Gineitis,CM
909,Olivier Giroud,FW
910,Edoardo Goldaniga,CB
911,Joan Gonzàlez,CM
912,Nicolás González,AM
913,Alberto Grassi,CM
914,Mattéo Guendouzi,CM
915,Albert Guðmundsson,FW
916,Emmanuel Gyasi,FB
917,Norbert Gyömbér,CB
918,Ridgeciano Haps,FB
919,Abdou Harroui,AM
920,Hans Hateboer,FB
921,Pantelis Hatzidiakos,CB
922,Matheus Henrique,CM
923,Theo Hernández,"FB, CB"
924,Isak Hien,CB
925,Isak Hien,CB
926,Emil Holm,FB
927,Martin Hongla,CM
928,Dean Huijsen,CB
929,Elseid Hysaj,FB
930,Arijon Ibrahimović,AM
931,Jonathan Ikone,AM
932,Chukwubuikem Ikwuemesi,FW
933,Ivan Ilić,CM
934,Samuel Iling-Junior,FB
935,Ciro Immobile,FW
936,Gustav Isaksen,AM
937,Ardian Ismajli,CB
938,Armando Izzo,CB
939,Jakub Jankto,CM
940,Juan Jesus,CB
941,Kaio Jorge,FW
942,Luka Jović,FW
943,Mohamed Kaba,CM
944,Christian Kabasele,CB
