player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
André Ferreira,pt POR,GK,Granada,27,1996,15.0,14.0,1340.0,14.9,29.0,1.95,77.0,49.0,66.2,0.0,5.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,Matches,0.0,2.0,1.0,27.8,0.33,-0.2,-0.01,73.0,186.0,39.2,388.0,88.0,31.4,32.2,110.0,58.2,44.3,195.0,6.0,3.1,13.0,0.87,12.6
Daniel Fuzato,br BRA,GK,Getafe,26,1997,1.0,0.0,7.0,0.1,2.0,25.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,1.3,0.63,-0.7,-9.63,2.0,7.0,28.6,6.0,1.0,50.0,39.2,4.0,100.0,71.8,5.0,1.0,20.0,0.0,0.0,10.7
Paulo Gazzaniga,ar ARG,GK,Girona,31,1992,38.0,38.0,3420.0,38.0,46.0,1.21,168.0,121.0,75.6,25.0,6.0,7.0,12.0,31.6,7.0,5.0,1.0,1.0,16.7,Matches,0.0,8.0,0.0,51.1,0.28,5.1,0.13,155.0,420.0,36.9,1140.0,178.0,25.6,30.0,246.0,52.0,44.8,534.0,41.0,7.7,33.0,0.87,13.2
David Gil,es ESP,GK,Cádiz,29,1994,5.0,4.0,372.0,4.1,8.0,1.94,24.0,17.0,66.7,0.0,3.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,1.0,5.3,0.26,-1.7,-0.4,51.0,125.0,40.8,104.0,8.0,76.9,49.3,48.0,93.8,63.5,91.0,7.0,7.7,0.0,0.0,7.0
Dominik Greif,sk SVK,GK,Mallorca,26,1997,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.7,0.16,0.7,0.66,10.0,18.0,55.6,23.0,3.0,52.2,42.0,9.0,66.7,54.2,12.0,0.0,0.0,1.0,1.0,23.0
Vicente Guaita,es ESP,GK,Celta Vigo,36,1987,27.0,26.0,2403.0,26.7,39.0,1.46,120.0,83.0,70.8,8.0,7.0,11.0,6.0,23.1,5.0,4.0,0.0,1.0,0.0,Matches,0.0,5.0,2.0,39.7,0.31,2.7,0.1,137.0,356.0,38.5,589.0,134.0,39.4,35.5,213.0,58.2,45.3,420.0,23.0,5.5,27.0,1.01,13.3
Sergio Herrera,es ESP,GK,Osasuna,30,1993,32.0,32.0,2869.0,31.9,47.0,1.47,132.0,84.0,64.4,12.0,7.0,13.0,9.0,28.1,1.0,0.0,1.0,0.0,100.0,Matches,0.0,6.0,0.0,45.6,0.34,-1.4,-0.04,282.0,658.0,42.9,961.0,100.0,52.0,40.4,222.0,71.2,51.2,468.0,29.0,6.2,43.0,1.35,16.4
Filip Jørgensen,dk DEN,GK,Villarreal,21,2002,36.0,36.0,3240.0,36.0,63.0,1.75,205.0,143.0,72.2,13.0,10.0,13.0,6.0,16.7,6.0,6.0,0.0,0.0,0.0,Matches,1.0,9.0,1.0,59.8,0.27,-2.2,-0.06,144.0,360.0,40.0,1055.0,178.0,24.5,29.7,245.0,41.6,37.8,650.0,34.0,5.2,36.0,1.0,13.4
Jeremías Ledesma,ar ARG,GK,Cádiz,30,1993,34.0,34.0,3048.0,33.9,47.0,1.39,151.0,104.0,70.2,6.0,12.0,16.0,9.0,26.5,2.0,2.0,0.0,0.0,0.0,Matches,0.0,6.0,0.0,46.4,0.3,-0.6,-0.02,313.0,785.0,39.9,897.0,115.0,60.4,44.0,284.0,85.6,62.1,526.0,53.0,10.1,45.0,1.33,12.9
Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,21.0,21.0,1890.0,21.0,17.0,0.81,65.0,48.0,75.4,16.0,5.0,0.0,10.0,47.6,1.0,1.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,21.2,0.31,4.2,0.2,35.0,99.0,35.4,548.0,95.0,13.7,25.2,116.0,20.7,28.7,283.0,27.0,9.5,23.0,1.1,12.2
Giorgi Mamardashvili,ge GEO,GK,Valencia,22,2000,37.0,37.0,3284.0,36.5,41.0,1.12,145.0,103.0,73.8,13.0,10.0,14.0,13.0,35.1,6.0,3.0,3.0,0.0,50.0,Matches,0.0,4.0,2.0,49.2,0.31,10.2,0.28,185.0,671.0,27.6,864.0,142.0,57.3,41.4,245.0,71.8,53.4,530.0,45.0,8.5,31.0,0.85,12.3
Diego Mariño,es ESP,GK,Almería,33,1990,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.1,0.02,0.1,0.05,1.0,5.0,20.0,25.0,6.0,20.0,24.1,2.0,0.0,16.5,6.0,0.0,0.0,2.0,2.0,22.7
Unai Marrero,es ESP,GK,Real Sociedad,21,2001,2.0,1.0,142.0,1.6,3.0,1.9,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.9,0.37,-0.1,-0.09,10.0,25.0,40.0,37.0,5.0,45.9,37.0,8.0,100.0,63.4,27.0,1.0,3.7,4.0,2.54,20.1
Marc Martínez,es ESP,GK,Granada,33,1990,3.0,3.0,270.0,3.0,11.0,3.67,23.0,12.0,60.9,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches,0.0,3.0,0.0,12.1,0.46,1.1,0.37,17.0,39.0,43.6,74.0,9.0,33.8,33.3,24.0,58.3,46.3,30.0,0.0,0.0,10.0,3.33,23.0
Luís Maximiano,pt POR,GK,Almería,24,1999,33.0,33.0,2970.0,33.0,63.0,1.91,175.0,111.0,66.3,2.0,11.0,20.0,6.0,18.2,7.0,4.0,1.0,2.0,20.0,Matches,0.0,7.0,0.0,59.7,0.32,-3.3,-0.1,158.0,543.0,29.1,995.0,146.0,38.4,35.5,264.0,61.0,46.3,551.0,25.0,4.5,38.0,1.15,14.5
Ørjan Nyland,no NOR,GK,Sevilla,32,1990,24.0,24.0,2160.0,24.0,27.0,1.13,104.0,78.0,76.9,8.0,9.0,7.0,6.0,25.0,3.0,3.0,0.0,0.0,0.0,Matches,1.0,1.0,1.0,29.8,0.26,3.8,0.16,166.0,449.0,37.0,583.0,108.0,49.9,39.4,201.0,78.6,56.4,359.0,20.0,5.6,17.0,0.71,13.5
Jan Oblak,si SVN,GK,Atlético Madrid,30,1993,38.0,38.0,3420.0,38.0,43.0,1.13,144.0,101.0,70.8,24.0,4.0,10.0,13.0,34.2,2.0,1.0,0.0,1.0,0.0,Matches,0.0,3.0,0.0,39.8,0.28,-3.2,-0.08,114.0,336.0,33.9,740.0,180.0,27.6,31.5,283.0,46.6,38.7,579.0,36.0,6.2,22.0,0.58,11.8
Jesús Owono,gq EQG,GK,Alavés,22,2001,4.0,4.0,360.0,4.0,8.0,2.0,24.0,16.0,66.7,1.0,2.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,6.4,0.27,-1.6,-0.4,36.0,77.0,46.8,88.0,9.0,54.5,41.7,31.0,93.5,66.8,29.0,4.0,13.8,8.0,2.0,15.2
Iñaki Peña,es ESP,GK,Barcelona,24,1999,10.0,10.0,900.0,10.0,17.0,1.7,39.0,22.0,56.4,6.0,2.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,13.9,0.36,-3.1,-0.31,21.0,49.0,42.9,249.0,46.0,13.3,23.7,48.0,33.3,35.5,116.0,2.0,1.7,5.0,0.5,10.6
Predrag Rajković,rs SRB,GK,Mallorca,27,1995,36.0,36.0,3240.0,36.0,43.0,1.19,138.0,95.0,71.7,7.0,15.0,14.0,9.0,25.0,5.0,4.0,1.0,0.0,20.0,Matches,1.0,4.0,1.0,41.8,0.27,-0.2,-0.01,322.0,795.0,40.5,946.0,117.0,60.9,44.7,300.0,73.0,54.3,502.0,33.0,6.6,28.0,0.78,13.7
Pepe Reina,es ESP,GK,Villarreal,40,1982,2.0,2.0,180.0,2.0,2.0,1.0,9.0,7.0,77.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.9,0.21,-0.1,-0.05,6.0,18.0,33.3,58.0,12.0,24.1,30.2,11.0,36.4,38.8,38.0,1.0,2.6,0.0,0.0,5.3
Álex Remiro,es ESP,GK,Real Sociedad,28,1995,37.0,37.0,3275.0,36.4,36.0,0.99,130.0,94.0,76.2,16.0,12.0,9.0,15.0,40.5,6.0,5.0,1.0,0.0,16.7,Matches,0.0,5.0,1.0,37.9,0.26,2.9,0.08,182.0,440.0,41.4,1090.0,111.0,30.6,32.0,163.0,65.6,50.9,383.0,18.0,4.7,54.0,1.48,16.9
Rui Silva,pt POR,GK,Betis,29,1994,28.0,28.0,2475.0,27.5,36.0,1.31,120.0,85.0,75.8,10.0,9.0,9.0,9.0,32.1,8.0,7.0,1.0,0.0,12.5,Matches,2.0,3.0,2.0,37.5,0.26,3.5,0.13,129.0,380.0,33.9,772.0,119.0,36.0,33.5,183.0,55.7,43.0,375.0,31.0,8.3,34.0,1.24,14.9
Unai Simón,es ESP,GK,Athletic Club,26,1997,36.0,36.0,3182.0,35.4,33.0,0.93,122.0,90.0,73.8,18.0,11.0,7.0,16.0,44.4,5.0,1.0,3.0,1.0,75.0,Matches,0.0,2.0,4.0,38.0,0.28,9.0,0.26,220.0,679.0,32.4,982.0,144.0,48.5,38.7,240.0,84.6,60.9,450.0,31.0,6.9,46.0,1.3,16.3
Antonio Sivera,es ESP,GK,Alavés,26,1996,34.0,34.0,3060.0,34.0,38.0,1.12,123.0,87.0,75.6,11.0,8.0,15.0,10.0,29.4,8.0,8.0,0.0,0.0,0.0,Matches,0.0,3.0,2.0,38.4,0.25,2.4,0.07,279.0,701.0,39.8,807.0,116.0,62.3,44.6,295.0,67.1,47.8,501.0,25.0,5.0,29.0,0.85,13.1
David Soria,es ESP,GK,Getafe,30,1993,38.0,38.0,3413.0,37.9,52.0,1.37,171.0,118.0,72.5,10.0,13.0,15.0,10.0,26.3,7.0,5.0,1.0,1.0,16.7,Matches,0.0,6.0,0.0,53.9,0.29,1.9,0.05,339.0,908.0,37.3,979.0,123.0,66.2,45.8,310.0,83.9,57.3,458.0,17.0,3.7,62.0,1.63,17.3
Marc-André ter Stegen,de GER,GK,Barcelona,31,1992,28.0,28.0,2520.0,28.0,27.0,0.96,102.0,75.0,75.5,20.0,5.0,3.0,15.0,53.6,2.0,2.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,27.7,0.25,0.7,0.03,92.0,167.0,55.1,871.0,115.0,14.4,26.3,163.0,25.8,30.9,334.0,13.0,3.9,31.0,1.11,15.6
Álvaro Vallés,es ESP,GK,Las Palmas,26,1997,37.0,37.0,3263.0,36.3,44.0,1.21,152.0,108.0,74.3,10.0,10.0,17.0,8.0,21.6,9.0,5.0,3.0,1.0,37.5,Matches,0.0,5.0,3.0,48.7,0.28,7.7,0.21,137.0,447.0,30.6,1762.0,194.0,21.7,27.3,151.0,42.4,39.1,521.0,29.0,5.6,96.0,2.65,17.8
Fran Vieites,es ESP,GK,Betis,24,1999,4.0,3.0,315.0,3.5,4.0,1.14,18.0,14.0,77.8,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,4.5,0.25,0.5,0.15,13.0,50.0,26.0,82.0,18.0,37.8,36.5,35.0,54.3,46.4,65.0,3.0,4.6,2.0,0.57,10.5
Iván Villar,es ESP,GK,Celta Vigo,26,1997,12.0,12.0,1014.0,11.3,18.0,1.6,44.0,26.0,63.6,2.0,4.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,33.3,Matches,0.0,2.0,1.0,16.3,0.31,-0.7,-0.07,39.0,138.0,28.3,223.0,48.0,35.4,34.4,98.0,60.2,45.7,136.0,5.0,3.7,9.0,0.8,13.2
Simone Aresti,it ITA,GK,Cagliari,37,1986,1.0,0.0,1.0,0.0,1.0,90.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.0,0.0,0.0,-1.21,0.0,1.0,0.0,1.0,0.0,100.0,64.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Emil Audero,it ITA,GK,Inter,26,1997,4.0,4.0,337.0,3.7,3.0,0.8,11.0,8.0,72.7,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,3.1,0.28,0.1,0.02,6.0,24.0,25.0,177.0,28.0,11.9,24.6,18.0,16.7,27.2,54.0,6.0,11.1,2.0,0.53,10.2
Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1.0,0.0,5.0,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.02,0.0,0.36,1.0,2.0,50.0,1.0,0.0,100.0,47.0,2.0,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Etrit Berisha,al ALB,GK,Empoli,34,1989,14.0,14.0,1260.0,14.0,25.0,1.79,74.0,49.0,68.9,3.0,3.0,8.0,4.0,28.6,3.0,2.0,1.0,0.0,33.3,Matches,0.0,5.0,1.0,20.7,0.24,-3.3,-0.24,44.0,184.0,23.9,400.0,75.0,34.8,33.0,90.0,50.0,40.8,236.0,11.0,4.7,10.0,0.71,12.4
Elia Caprile,it ITA,GK,Empoli,21,2001,23.0,23.0,2070.0,23.0,27.0,1.17,106.0,78.0,78.3,6.0,6.0,11.0,5.0,21.7,5.0,4.0,1.0,0.0,20.0,Matches,0.0,5.0,0.0,27.6,0.22,0.6,0.02,117.0,350.0,33.4,657.0,137.0,40.3,36.8,159.0,53.5,45.1,391.0,31.0,7.9,20.0,0.87,13.3
Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,27.0,27.0,2425.0,26.9,30.0,1.11,107.0,75.0,75.7,15.0,5.0,7.0,8.0,29.6,7.0,4.0,2.0,1.0,33.3,Matches,0.0,2.0,0.0,29.3,0.22,-0.7,-0.03,121.0,338.0,35.8,680.0,142.0,30.6,33.8,193.0,67.4,51.7,332.0,20.0,6.0,39.0,1.45,14.7
Michele Cerofolini,it ITA,GK,Frosinone,24,1999,8.0,7.0,675.0,7.5,11.0,1.47,28.0,18.0,60.7,2.0,2.0,3.0,3.0,42.9,1.0,0.0,0.0,1.0,0.0,Matches,0.0,1.0,1.0,5.9,0.22,-4.1,-0.55,18.0,100.0,18.0,171.0,28.0,47.4,37.2,38.0,50.0,42.8,126.0,4.0,3.2,7.0,0.93,14.3
Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4.0,4.0,360.0,4.0,9.0,2.25,19.0,10.0,63.2,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,4.7,0.15,-4.3,-1.08,23.0,61.0,37.7,170.0,15.0,31.8,31.0,20.0,35.0,33.7,32.0,1.0,3.1,9.0,2.25,19.5
Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35.0,35.0,3150.0,35.0,68.0,1.94,159.0,93.0,61.6,6.0,8.0,21.0,3.0,8.6,10.0,7.0,1.0,2.0,12.5,Matches,1.0,7.0,3.0,51.7,0.28,-13.3,-0.38,172.0,540.0,31.9,982.0,143.0,42.3,36.9,252.0,49.6,41.2,545.0,23.0,4.2,22.0,0.63,11.8
Nikita Contini Baranovsky,it ITA,GK,Napoli,27,1996,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,1.0,0.0,15.0,1.0,0.0,0.0,3.0,15.88,37.0
Benoît Costil,fr FRA,GK,Salernitana,36,1987,13.0,13.0,1170.0,13.0,29.0,2.23,66.0,38.0,60.6,2.0,3.0,8.0,1.0,7.7,3.0,3.0,0.0,0.0,0.0,Matches,0.0,2.0,1.0,23.6,0.32,-4.4,-0.34,71.0,228.0,31.1,323.0,45.0,48.0,37.0,104.0,70.2,51.1,212.0,2.0,0.9,19.0,1.46,18.2
Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3.0,3.0,270.0,3.0,7.0,2.33,14.0,8.0,57.1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches,1.0,1.0,1.0,5.1,0.3,-0.9,-0.28,17.0,45.0,37.8,78.0,11.0,50.0,37.8,22.0,27.3,30.5,37.0,3.0,8.1,8.0,2.67,18.6
Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,1.0,0.0,23.0,0.3,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.5,0.13,0.5,2.08,1.0,2.0,50.0,15.0,3.0,13.3,25.2,1.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
Michele Di Gregorio,it ITA,GK,Monza,26,1997,33.0,33.0,2872.0,31.9,35.0,1.1,159.0,122.0,79.9,11.0,11.0,11.0,12.0,36.4,5.0,3.0,2.0,0.0,40.0,Matches,1.0,5.0,0.0,45.4,0.26,10.4,0.33,179.0,430.0,41.6,1126.0,201.0,27.8,30.6,223.0,52.5,44.2,469.0,19.0,4.1,18.0,0.56,11.5
Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38.0,38.0,3420.0,38.0,54.0,1.42,173.0,119.0,71.7,8.0,14.0,16.0,7.0,18.4,6.0,5.0,1.0,0.0,16.7,Matches,1.0,7.0,1.0,53.2,0.28,0.2,0.01,152.0,489.0,31.1,893.0,159.0,42.6,34.9,248.0,44.0,35.2,522.0,20.0,3.8,20.0,0.53,11.0
Vincenzo Fiorillo,it ITA,GK,Salernitana,33,1990,4.0,4.0,360.0,4.0,8.0,2.0,26.0,18.0,69.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,4.0,0.0,7.3,0.28,-0.7,-0.18,27.0,96.0,28.1,72.0,9.0,68.1,44.9,54.0,87.0,56.6,77.0,4.0,5.2,1.0,0.25,7.6
Luca Gemello,it ITA,GK,Torino,23,2000,2.0,2.0,180.0,2.0,5.0,2.5,9.0,4.0,55.6,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,3.6,0.31,-1.4,-0.72,10.0,29.0,34.5,104.0,8.0,26.9,31.1,12.0,8.3,19.7,24.0,3.0,12.5,3.0,1.5,12.0
Pierluigi Gollini,it ITA,GK,Napoli,28,1995,7.0,7.0,630.0,7.0,8.0,1.14,24.0,16.0,66.7,3.0,1.0,3.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,8.2,0.34,0.2,0.02,27.0,68.0,39.7,213.0,28.0,22.1,29.5,53.0,39.6,36.3,82.0,5.0,6.1,9.0,1.29,16.2
Nicola Leali,it ITA,GK,Genoa,30,1993,3.0,2.0,176.0,2.0,2.0,1.02,9.0,7.0,77.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.8,0.31,0.8,0.4,18.0,48.0,37.5,62.0,3.0,69.4,44.7,10.0,50.0,40.6,27.0,2.0,7.4,1.0,0.51,15.2
Mike Maignan,fr FRA,GK,Milan,28,1995,29.0,29.0,2609.0,29.0,34.0,1.17,120.0,86.0,77.5,19.0,5.0,5.0,10.0,34.5,7.0,7.0,0.0,0.0,0.0,Matches,2.0,3.0,0.0,29.8,0.19,-4.2,-0.14,119.0,284.0,41.9,1070.0,188.0,21.1,28.2,147.0,39.5,38.0,339.0,37.0,10.9,36.0,1.24,15.2
Christos Mandas,gr GRE,GK,Lazio,21,2001,9.0,8.0,721.0,8.0,6.0,0.75,29.0,23.0,79.3,6.0,1.0,1.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,7.0,0.25,1.0,0.12,38.0,114.0,33.3,240.0,29.0,42.5,37.7,29.0,41.4,37.9,99.0,6.0,6.1,5.0,0.62,13.1
Tommaso Martinelli,it ITA,GK,Fiorentina,17,2006,1.0,1.0,90.0,1.0,2.0,2.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josep Martinez,es ESP,GK,Genoa,25,1998,36.0,36.0,3239.0,36.0,43.0,1.19,130.0,87.0,69.2,11.0,13.0,12.0,8.0,22.2,4.0,3.0,1.0,0.0,25.0,Matches,1.0,4.0,1.0,38.9,0.28,-3.1,-0.09,227.0,583.0,38.9,1253.0,107.0,37.4,35.9,171.0,66.7,49.4,580.0,45.0,7.8,40.0,1.11,12.2
Alex Meret,it ITA,GK,Napoli,26,1997,31.0,31.0,2773.0,30.8,40.0,1.3,104.0,62.0,63.5,10.0,13.0,8.0,5.0,16.1,4.0,2.0,2.0,0.0,50.0,Matches,1.0,5.0,0.0,38.0,0.33,-2.0,-0.07,56.0,174.0,32.2,774.0,120.0,18.5,27.9,137.0,22.6,29.5,334.0,9.0,2.7,29.0,0.94,15.4
Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36.0,36.0,3240.0,36.0,31.0,0.86,134.0,103.0,81.3,13.0,14.0,9.0,18.0,50.0,6.0,6.0,0.0,0.0,0.0,Matches,0.0,4.0,0.0,33.8,0.21,2.8,0.08,264.0,783.0,33.7,1288.0,171.0,44.8,38.3,239.0,86.2,66.6,407.0,38.0,9.3,37.0,1.03,13.6
Antonio Mirante,it ITA,GK,Milan,40,1983,2.0,2.0,177.0,2.0,3.0,1.53,8.0,5.0,62.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,3.1,0.41,0.1,0.05,5.0,14.0,35.7,46.0,5.0,26.1,29.2,8.0,25.0,29.4,17.0,1.0,5.9,1.0,0.51,11.9
Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37.0,37.0,3330.0,37.0,49.0,1.32,153.0,105.0,69.3,9.0,10.0,18.0,8.0,21.6,2.0,2.0,0.0,0.0,0.0,Matches,0.0,6.0,1.0,40.7,0.26,-7.3,-0.2,323.0,763.0,42.3,960.0,109.0,54.5,41.1,305.0,78.7,56.4,487.0,22.0,4.5,43.0,1.16,15.3
Juan Musso,ar ARG,GK,Atalanta,29,1994,11.0,11.0,990.0,11.0,12.0,1.09,34.0,23.0,70.6,6.0,1.0,4.0,6.0,54.5,2.0,2.0,0.0,0.0,0.0,Matches,0.0,2.0,1.0,9.8,0.23,-1.2,-0.11,40.0,120.0,33.3,299.0,70.0,24.4,29.6,70.0,67.1,48.6,110.0,10.0,9.1,16.0,1.45,16.7
Lapo Nava,it ITA,GK,Milan,19,2004,1.0,0.0,3.0,0.0,1.0,30.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.9,0.5,-0.1,-2.83,1.0,1.0,100.0,1.0,0.0,100.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21.0,21.0,1890.0,21.0,44.0,2.1,115.0,72.0,67.8,0.0,6.0,15.0,1.0,4.8,7.0,7.0,0.0,0.0,0.0,Matches,0.0,3.0,1.0,37.2,0.27,-5.8,-0.28,85.0,323.0,26.3,479.0,73.0,46.3,37.5,171.0,59.1,44.4,342.0,9.0,2.6,11.0,0.52,13.6
Maduka Okoye,ng NGA,GK,Udinese,23,1999,21.0,21.0,1890.0,21.0,25.0,1.19,89.0,65.0,75.3,5.0,8.0,8.0,5.0,23.8,3.0,3.0,0.0,0.0,0.0,Matches,2.0,3.0,1.0,23.9,0.24,-0.1,0.0,99.0,263.0,37.6,286.0,45.0,55.9,41.7,161.0,64.0,49.0,365.0,7.0,1.9,2.0,0.1,8.7
Rui Patrício,pt POR,GK,Roma,35,1988,23.0,23.0,2070.0,23.0,27.0,1.17,74.0,49.0,66.2,11.0,5.0,7.0,6.0,26.1,3.0,2.0,0.0,1.0,0.0,Matches,0.0,2.0,2.0,23.4,0.29,-1.6,-0.07,90.0,211.0,42.7,492.0,86.0,31.5,31.0,137.0,40.9,34.9,309.0,16.0,5.2,8.0,0.35,11.7
Simone Perilli,it ITA,GK,Hellas Verona,28,1995,1.0,1.0,90.0,1.0,2.0,2.0,10.0,8.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.7,0.29,0.7,0.75,8.0,28.0,28.6,32.0,2.0,75.0,49.5,5.0,80.0,62.0,5.0,0.0,0.0,2.0,2.0,18.0
Mattia Perin,it ITA,GK,Juventus,30,1992,3.0,3.0,225.0,2.5,1.0,0.4,5.0,4.0,80.0,2.0,1.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.2,0.25,0.2,0.1,5.0,15.0,33.3,54.0,9.0,25.9,29.4,12.0,8.3,19.5,29.0,2.0,6.9,3.0,1.2,16.7
Samuele Perisan,it ITA,GK,Empoli,25,1997,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.7,0.14,-1.3,-1.32,1.0,8.0,12.5,22.0,8.0,27.3,26.3,12.0,16.7,29.6,18.0,0.0,0.0,1.0,1.0,21.0
Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,1.0,0.0,45.0,0.5,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.5,0.18,0.5,1.06,2.0,5.0,40.0,21.0,1.0,23.8,31.4,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0
Ivan Provedel,it ITA,GK,Lazio,29,1994,30.0,30.0,2699.0,30.0,33.0,1.1,119.0,86.0,73.9,12.0,6.0,12.0,9.0,30.0,3.0,2.0,0.0,1.0,0.0,Matches,0.0,1.0,0.0,31.3,0.24,-1.7,-0.06,101.0,252.0,40.1,841.0,103.0,22.6,30.8,176.0,35.2,37.0,377.0,15.0,4.0,18.0,0.6,13.0
