player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,10.0,900.0,10.0,11.0,1.1,38.0,28.0,71.1,8.0,2.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,3.0,1.0,11.3,0.3,1.3,0.13,32.0,102.0,31.4,411.0,52.0,22.4,27.3,28.0,35.7,34.9,77.0,5.0,6.5,13.0,1.3,17.0
Bernd Leno,de GER,GK,Fulham,31,1992,38.0,38.0,3420.0,38.0,61.0,1.61,190.0,133.0,72.1,13.0,8.0,17.0,10.0,26.3,8.0,8.0,0.0,0.0,0.0,Matches,2.0,3.0,4.0,55.7,0.26,-1.3,-0.03,144.0,439.0,32.8,1372.0,167.0,23.7,28.5,201.0,56.7,44.7,472.0,19.0,4.0,40.0,1.05,14.2
Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,34.0,34.0,3015.0,33.5,48.0,1.43,139.0,95.0,66.2,19.0,8.0,7.0,8.0,23.5,1.0,1.0,0.0,0.0,0.0,Matches,0.0,10.0,4.0,50.8,0.37,6.8,0.2,121.0,332.0,36.4,1270.0,157.0,21.0,27.7,159.0,40.9,36.1,373.0,45.0,12.1,69.0,2.06,17.5
Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,1.0,0.0,4.0,0.0,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.1,0.15,-0.9,-19.2,0.0,5.0,0.0,4.0,0.0,100.0,53.8,1.0,100.0,63.0,1.0,1.0,100.0,0.0,0.0,3.5
Arijanet Muric,xk KVX,GK,Burnley,24,1998,10.0,10.0,900.0,10.0,16.0,1.6,78.0,62.0,80.8,2.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Matches,0.0,1.0,1.0,21.7,0.26,6.7,0.67,77.0,219.0,35.2,547.0,54.0,36.4,34.3,33.0,60.6,45.1,143.0,20.0,14.0,31.0,3.1,17.2
Neto,br BRA,GK,Bournemouth,34,1989,32.0,32.0,2880.0,32.0,55.0,1.72,165.0,110.0,69.7,10.0,9.0,13.0,7.0,21.9,6.0,5.0,1.0,0.0,16.7,Matches,1.0,3.0,1.0,55.2,0.31,1.2,0.04,172.0,494.0,34.8,833.0,154.0,44.1,36.9,223.0,57.0,44.2,413.0,26.0,6.3,34.0,1.06,13.7
Robin Olsen,se SWE,GK,Aston Villa,33,1990,5.0,4.0,405.0,4.5,13.0,2.89,34.0,20.0,61.8,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,Matches,1.0,0.0,0.0,11.1,0.3,-1.9,-0.43,15.0,48.0,31.3,176.0,19.0,20.5,27.1,27.0,44.4,35.9,46.0,6.0,13.0,1.0,0.22,8.4
André Onana,cm CMR,GK,Manchester Utd,27,1996,38.0,38.0,3420.0,38.0,58.0,1.53,203.0,146.0,74.9,18.0,6.0,14.0,9.0,23.7,7.0,7.0,0.0,0.0,0.0,Matches,1.0,11.0,1.0,59.1,0.27,2.1,0.06,149.0,513.0,29.0,1351.0,140.0,31.0,31.2,162.0,58.0,44.6,601.0,42.0,7.0,37.0,0.97,12.9
Stefan Ortega,de GER,GK,Manchester City,30,1992,9.0,5.0,635.0,7.1,7.0,0.99,27.0,20.0,74.1,4.0,1.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,9.0,0.33,2.0,0.28,28.0,68.0,41.2,247.0,24.0,24.7,27.9,19.0,36.8,34.4,65.0,6.0,9.2,13.0,1.84,16.8
Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,23.0,22.0,1987.0,22.1,38.0,1.72,108.0,73.0,65.7,13.0,5.0,4.0,5.0,22.7,2.0,1.0,0.0,1.0,0.0,Matches,0.0,5.0,3.0,28.3,0.26,-6.7,-0.3,67.0,214.0,31.3,655.0,97.0,22.1,27.8,149.0,46.3,37.8,312.0,20.0,6.4,20.0,0.91,12.7
